Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Product_ID,Region,State,City,Sales,Quantity,Discount,Profit,Profit_Margin,Year,Quarter,Year_Month
1,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,FUR-BO-10001798,South,Kentucky,Henderson,261.96,2,0.0,41.9136,0.16000000000000003,2016,4,2016-11
2,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,FUR-CH-10000454,South,Kentucky,Henderson,731.94,3,0.0,219.582,0.3,2016,4,2016-11
3,CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,OFF-LA-10000240,West,California,Los Angeles,14.62,2,0.0,6.8714,0.47000000000000003,2016,2,2016-06
4,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,FUR-TA-10000577,South,Florida,Fort Lauderdale,957.5775,5,0.45,-383.031,-0.4,2015,4,2015-10
5,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,OFF-ST-10000760,South,Florida,Fort Lauderdale,22.368,2,0.2,2.5164,0.1125,2015,4,2015-10
6,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,FUR-FU-10001487,West,California,Los Angeles,48.86,7,0.0,14.1694,0.29,2014,2,2014-06
7,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,OFF-AR-10002833,West,California,Los Angeles,7.28,4,0.0,1.9656,0.27,2014,2,2014-06
8,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,TEC-PH-10002275,West,California,Los Angeles,907.152,6,0.2,90.7152,0.09999999999999999,2014,2,2014-06
9,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,OFF-BI-10003910,West,California,Los Angeles,18.504,3,0.2,5.7825,0.31249999999999994,2014,2,2014-06
10,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,OFF-AP-10002892,West,California,Los Angeles,114.9,5,0.0,34.47,0.3,2014,2,2014-06
11,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,FUR-TA-10001539,West,California,Los Angeles,1706.184,9,0.2,85.3092,0.05,2014,2,2014-06
12,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,TEC-PH-10002033,West,California,Los Angeles,911.424,4,0.2,68.3568,0.07500000000000001,2014,2,2014-06
13,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,OFF-PA-10002365,South,North Carolina,Concord,15.552,3,0.2,5.4432,0.35000000000000003,2017,2,2017-04
14,CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,OFF-BI-10003656,West,Washington,Seattle,407.976,3,0.2,132.5922,0.32499999999999996,2016,4,2016-12
15,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,OFF-AP-10002311,Central,Texas,Fort Worth,68.81,5,0.8,-123.858,-1.8,2015,4,2015-11
16,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,OFF-BI-10000756,Central,Texas,Fort Worth,2.544,3,0.8,-3.816,-1.5,2015,4,2015-11
17,CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,OFF-ST-10004186,Central,Wisconsin,Madison,665.88,6,0.0,13.3176,0.02,2014,4,2014-11
18,CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,OFF-ST-10000107,West,Utah,West Jordan,55.5,2,0.0,9.99,0.18,2014,2,2014-05
19,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,OFF-AR-10003056,West,California,San Francisco,8.56,2,0.0,2.4824,0.29,2014,3,2014-08
20,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,TEC-PH-10001949,West,California,San Francisco,213.48,3,0.2,16.011,0.075,2014,3,2014-08
21,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,OFF-BI-10002215,West,California,San Francisco,22.72,4,0.2,7.384,0.325,2014,3,2014-08
22,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,OFF-AR-10000246,Central,Nebraska,Fremont,19.46,7,0.0,5.0596,0.25999999999999995,2016,4,2016-12
23,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,OFF-AP-10001492,Central,Nebraska,Fremont,60.34,7,0.0,15.6884,0.25999999999999995,2016,4,2016-12
24,US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,FUR-CH-10002774,East,Pennsylvania,Philadelphia,71.372,2,0.3,-1.0196,-0.014285714285714287,2017,3,2017-07
25,CA-2015-106320,2015-09-25,2015-09-30,Standard Class,EB-13870,FUR-TA-10000577,West,Utah,Orem,1044.63,3,0.0,240.2649,0.22999999999999998,2015,3,2015-09
26,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,OFF-BI-10001634,West,California,Los Angeles,11.648,2,0.2,4.2224,0.36250000000000004,2016,1,2016-01
27,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,TEC-AC-10003027,West,California,Los Angeles,90.57,3,0.0,11.7741,0.13,2016,1,2016-01
28,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,FUR-BO-10004834,East,Pennsylvania,Philadelphia,3083.43,7,0.5,-1665.0522,-0.54,2015,3,2015-09
29,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-BI-10000474,East,Pennsylvania,Philadelphia,9.618,2,0.7,-7.0532,-0.7333333333333334,2015,3,2015-09
30,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,FUR-FU-10004848,East,Pennsylvania,Philadelphia,124.2,3,0.2,15.525,0.125,2015,3,2015-09
31,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-EN-10001509,East,Pennsylvania,Philadelphia,3.264,2,0.2,1.1016,0.3375,2015,3,2015-09
32,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-AR-10004042,East,Pennsylvania,Philadelphia,86.304,6,0.2,9.7092,0.11249999999999999,2015,3,2015-09
33,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-BI-10001525,East,Pennsylvania,Philadelphia,6.858,6,0.7,-5.715,-0.8333333333333334,2015,3,2015-09
34,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-AR-10001683,East,Pennsylvania,Philadelphia,15.76,2,0.2,3.546,0.22499999999999998,2015,3,2015-09
35,CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,OFF-PA-10000249,Central,Texas,Houston,29.472,3,0.2,9.9468,0.33749999999999997,2017,4,2017-10
36,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,TEC-PH-10004977,Central,Texas,Richardson,1097.544,7,0.2,123.4737,0.11249999999999999,2016,4,2016-12
37,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,FUR-FU-10003664,Central,Texas,Richardson,190.92,5,0.6,-147.963,-0.775,2016,4,2016-12
38,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,OFF-EN-10002986,Central,Texas,Houston,113.328,9,0.2,35.415,0.3125,2015,4,2015-12
39,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,FUR-BO-10002545,Central,Texas,Houston,532.3992,3,0.32,-46.9764,-0.08823529411764706,2015,4,2015-12
40,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,FUR-CH-10004218,Central,Texas,Houston,212.058,3,0.3,-15.147,-0.07142857142857144,2015,4,2015-12
41,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,TEC-PH-10000486,Central,Texas,Houston,371.168,4,0.2,41.7564,0.1125,2015,4,2015-12
42,CA-2017-120999,2017-09-10,2017-09-15,Standard Class,LC-16930,TEC-PH-10004093,Central,Illinois,Naperville,147.168,4,0.2,16.5564,0.11249999999999999,2017,3,2017-09
43,CA-2016-101343,2016-07-17,2016-07-22,Standard Class,RA-19885,OFF-ST-10003479,West,California,Los Angeles,77.88,2,0.0,3.894,0.05,2016,3,2016-07
44,CA-2017-139619,2017-09-19,2017-09-23,Standard Class,ES-14080,OFF-ST-10003282,South,Florida,Melbourne,95.616,2,0.2,9.5616,0.1,2017,3,2017-09
45,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,TEC-AC-10000171,Central,Minnesota,Eagan,45.98,2,0.0,19.7714,0.43000000000000005,2016,1,2016-03
46,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,OFF-BI-10003291,Central,Minnesota,Eagan,17.46,2,0.0,8.2062,0.47000000000000003,2016,1,2016-03
